geo_code,geo_name,geo_level,year,population_total,birth_total,death_total,in_migration,out_migration,marriages_total,divorces_total,natural_increase,net_migration,cbr_per_1000,cdr_per_1000,net_mig_per_1000
1714401,Namangan shahri,shahar,2024,696.5,20317.0,3569.0,8.0,12.0,5251.0,970.0,16748.0,-4.0,29170.13639626705,5124.192390524048,-5.74300071787509
1714401,Namangan shahri,shahar,2023,678.2,21738.0,3363.0,16.0,29.0,5030.0,993.0,18375.0,-13.0,32052.491890297842,4958.714243585962,-19.16838690651725
1714401,Namangan shahri,shahar,2022,661.1,20765.0,3313.0,15.0,28.0,5221.0,1111.0,17452.0,-13.0,31409.771592799876,5011.344728482832,-19.664196036908184
1714401,Namangan shahri,shahar,2021,644.8,20211.0,3349.0,5.0,113.0,5457.0,861.0,16862.0,-108.0,31344.602977667495,5193.858560794045,-167.49379652605458
1714204,Mingbuloq tumani,tuman,2020,125.7,3252.0,531.0,0.0,35.0,1139.0,86.0,2721.0,-35.0,25871.121718377086,4224.343675417661,-278.4407319013524
1714236,Chortoq tumani,tuman,2020,198.5,4881.0,935.0,1.0,66.0,1716.0,122.0,3946.0,-65.0,24589.42065491184,4710.327455919395,-327.45591939546597
1714242,Yangiqo'rg'on tumani,tuman,2020,217.2,5657.0,1029.0,0.0,85.0,1928.0,122.0,4628.0,-85.0,26045.1197053407,4737.569060773481,-391.3443830570902
1714401,Namangan shahri,shahar,2019,612.2,17579.0,3047.0,13.0,80.0,5872.0,490.0,14532.0,-67.0,28714.47239464227,4977.131656321463,-109.44135903299575
1714401,Namangan shahri,shahar,2018,600.2,16227.0,2958.0,1.0,96.0,5733.0,546.0,13269.0,-95.0,27035.988003998664,4928.357214261912,-158.28057314228587
1714401,Namangan shahri,shahar,2017,590.2,14709.0,3142.0,2.0,87.0,5658.0,578.0,11567.0,-85.0,24922.060318536085,5323.619112165367,-144.01897661809554
1714204,Mingbuloq tumani,tuman,2016,116.4,2737.0,542.0,0.0,5.0,1136.0,85.0,2195.0,-5.0,23513.745704467354,4656.357388316151,-42.955326460481096
1714236,Chortoq tumani,tuman,2016,186.0,4235.0,856.0,0.0,5.0,1650.0,114.0,3379.0,-5.0,22768.817204301075,4602.150537634409,-26.881720430107528
1714242,Yangiqo'rg'on tumani,tuman,2016,207.2,4507.0,934.0,0.0,10.0,1755.0,103.0,3573.0,-10.0,21751.930501930503,4507.722007722008,-48.262548262548265
1714401,Namangan shahri,shahar,2015,484.9,12592.0,2509.0,0.0,100.0,4543.0,464.0,10083.0,-100.0,25968.240874407093,5174.26273458445,-206.22808826562178
1714401,Namangan shahri,shahar,2014,475.7,12777.0,2449.0,0.0,144.0,4632.0,514.0,10328.0,-144.0,26859.365146100485,5148.20264872819,-302.7117931469414
1714401,Namangan shahri,shahar,2013,468.0,11530.0,2259.0,3.0,197.0,4441.0,423.0,9271.0,-194.0,24636.752136752137,4826.923076923076,-414.52991452991455
1714204,Mingbuloq tumani,tuman,2012,108.2,2107.0,457.0,6.0,0.0,974.0,48.0,1650.0,6.0,19473.197781885396,4223.65988909427,55.45286506469501
1714236,Chortoq tumani,tuman,2012,173.1,3535.0,807.0,0.0,0.0,1661.0,113.0,2728.0,0.0,20421.721548238016,4662.045060658578,0.0
1714242,Yangiqo'rg'on tumani,tuman,2012,193.1,3717.0,855.0,4.0,0.0,1787.0,97.0,2862.0,4.0,19249.093733816677,4427.75763852926,20.714655618850337
1714204,Mingbuloq tumani,tuman,2011,106.5,2183.0,468.0,6.0,0.0,1025.0,36.0,1715.0,6.0,20497.652582159622,4394.366197183099,56.33802816901409
1714236,Chortoq tumani,tuman,2011,170.3,3651.0,777.0,1.0,0.0,1614.0,84.0,2874.0,1.0,21438.637698179682,4562.53669994128,5.871990604815032
1714242,Yangiqo'rg'on tumani,tuman,2011,189.9,3846.0,854.0,20.0,0.0,1873.0,88.0,2992.0,20.0,20252.764612954183,4497.103738809899,105.318588730911
1714401,Namangan shahri,shahar,2010,441.3,10419.0,2139.0,9.0,0.0,4523.0,409.0,8280.0,9.0,23609.789259007477,4847.042828008157,20.394289598912305
1714,Namangan viloyati,viloyat,2024,3066.1,81930.0,14281.0,12.0,38.0,22333.0,4123.0,67649.0,-26.0,26721.24196862464,4657.7084896122105,-8.479827794266333
1714207,Kosonsoy tumani,tuman,2024,227.9,6167.0,865.0,0.0,1.0,1621.0,296.0,5302.0,-1.0,27060.114085125053,3795.52435278631,-4.387889425186485
1714212,Namangan tumani,tuman,2024,192.7,5306.0,785.0,0.0,3.0,1315.0,252.0,4521.0,-3.0,27535.028541774784,4073.689673066943,-15.568240788790868
1714216,Norin tumani,tuman,2024,175.8,4353.0,863.0,0.0,5.0,1320.0,294.0,3490.0,-5.0,24761.092150170647,4908.987485779295,-28.44141069397042
1714237,Chust tumani,tuman,2024,285.6,7399.0,1231.0,0.0,4.0,2153.0,395.0,6168.0,-4.0,25906.86274509804,4310.224089635854,-14.005602240896357
1714,Namangan viloyati,viloyat,2023,2997.5,84496.0,13831.0,36.0,65.0,23264.0,4395.0,70665.0,-29.0,28188.824020016684,4614.178482068391,-9.674728940783986
1714207,Kosonsoy tumani,tuman,2023,222.7,6286.0,947.0,0.0,3.0,1735.0,308.0,5339.0,-3.0,28226.313426133813,4252.357431522228,-13.47103726986978
1714212,Namangan tumani,tuman,2023,188.2,5291.0,705.0,0.0,1.0,1393.0,335.0,4586.0,-1.0,28113.708820403826,3746.0148777895856,-5.313496280552604
1714216,Norin tumani,tuman,2023,172.5,4440.0,840.0,0.0,2.0,1345.0,284.0,3600.0,-2.0,25739.130434782608,4869.565217391305,-11.594202898550725
1714237,Chust tumani,tuman,2023,279.7,7552.0,1255.0,2.0,4.0,2390.0,408.0,6297.0,-2.0,27000.35752592063,4486.950303897033,-7.150518412584913
1714,Namangan viloyati,viloyat,2022,2931.1,82330.0,13433.0,23.0,143.0,23454.0,4389.0,68897.0,-120.0,28088.430964484323,4582.921087646277,-40.94026133533485
1714207,Kosonsoy tumani,tuman,2022,217.7,6050.0,928.0,0.0,14.0,1697.0,297.0,5122.0,-14.0,27790.537436839688,4262.746899402848,-64.30868167202573
1714212,Namangan tumani,tuman,2022,183.8,5239.0,740.0,0.0,12.0,1406.0,253.0,4499.0,-12.0,28503.808487486396,4026.1153427638733,-65.28835690968442
1714216,Norin tumani,tuman,2022,169.3,4305.0,880.0,0.0,3.0,1347.0,285.0,3425.0,-3.0,25428.23390431187,5197.873597164797,-17.72002362669817
1714237,Chust tumani,tuman,2022,274.5,7105.0,1352.0,0.0,4.0,2271.0,470.0,5753.0,-4.0,25883.424408014573,4925.318761384335,-14.571948998178506
1714,Namangan viloyati,viloyat,2021,2867.5,79968.0,13542.0,28.0,240.0,25038.0,3171.0,66426.0,-212.0,27887.707061900608,4722.580645161291,-73.93199651264167
1714207,Kosonsoy tumani,tuman,2021,212.9,5904.0,887.0,0.0,7.0,1774.0,184.0,5017.0,-7.0,27731.32926256458,4166.275246594645,-32.87928604978863
1714212,Namangan tumani,tuman,2021,179.8,4881.0,816.0,0.0,3.0,1572.0,178.0,4065.0,-3.0,27146.829810901,4538.37597330367,-16.685205784204673
1714216,Norin tumani,tuman,2021,166.1,4190.0,767.0,0.0,26.0,1338.0,192.0,3423.0,-26.0,25225.767609873572,4617.700180614088,-156.53220951234198
1714237,Chust tumani,tuman,2021,269.3,7030.0,1230.0,1.0,12.0,2477.0,335.0,5800.0,-11.0,26104.715930189377,4567.396955068697,-40.84663943557371
1714219,Pop tumani,tuman,2020,218.9,5199.0,1022.0,3.0,54.0,1810.0,202.0,4177.0,-51.0,23750.5710370032,4668.798538145272,-232.98309730470535
1714224,To'raqo'rg'on tumani,tuman,2020,225.4,6084.0,1036.0,0.0,59.0,2189.0,189.0,5048.0,-59.0,26992.014196983142,4596.273291925466,-261.75687666370897
1714229,Uychi tumani,tuman,2020,212.3,5961.0,1117.0,0.0,84.0,2098.0,167.0,4844.0,-84.0,28078.191238812997,5261.422515308525,-395.6665096561469
1714234,Uchqo'rg'on tumani,tuman,2020,171.6,4308.0,929.0,1.0,50.0,1604.0,156.0,3379.0,-49.0,25104.895104895106,5413.752913752914,-285.54778554778557
1714,Namangan viloyati,viloyat,2019,2752.9,71830.0,12534.0,60.0,124.0,26971.0,2392.0,59296.0,-64.0,26092.484289294924,4553.01681862763,-23.24821097751462
1714207,Kosonsoy tumani,tuman,2019,203.9,5440.0,842.0,0.0,8.0,1932.0,182.0,4598.0,-8.0,26679.744973025994,4129.475232957332,-39.2349190779794
1714212,Namangan tumani,tuman,2019,174.7,4643.0,750.0,0.0,0.0,1649.0,181.0,3893.0,0.0,26576.989124212938,4293.073840870063,0.0
1714216,Norin tumani,tuman,2019,160.3,3903.0,766.0,0.0,3.0,1560.0,159.0,3137.0,-3.0,24348.097317529628,4778.54023705552,-18.714909544603866
1714237,Chust tumani,tuman,2019,259.7,6426.0,1092.0,0.0,12.0,2466.0,247.0,5334.0,-12.0,24743.935309973047,4204.851752021564,-46.20716211012707
1714,Namangan viloyati,viloyat,2018,2699.6,66490.0,12200.0,12.0,152.0,26449.0,2508.0,54290.0,-140.0,24629.574751815086,4519.188027855978,-51.85953474588828
1714207,Kosonsoy tumani,tuman,2018,199.7,5001.0,822.0,1.0,10.0,1878.0,205.0,4179.0,-9.0,25042.563845768655,4116.174261392089,-45.06760140210316
1714212,Namangan tumani,tuman,2018,170.8,4141.0,725.0,0.0,0.0,1629.0,158.0,3416.0,0.0,24244.730679156906,4244.730679156908,0.0
1714216,Norin tumani,tuman,2018,157.5,3712.0,788.0,0.0,0.0,1551.0,184.0,2924.0,0.0,23568.25396825397,5003.174603174603,0.0
1714237,Chust tumani,tuman,2018,255.0,5861.0,1057.0,1.0,5.0,2516.0,233.0,4804.0,-4.0,22984.313725490196,4145.098039215687,-15.686274509803921
1714,Namangan viloyati,viloyat,2017,2652.4,61380.0,13066.0,5.0,126.0,26336.0,2518.0,48314.0,-121.0,23141.305987030613,4926.104659930629,-45.61906198160157
1714207,Kosonsoy tumani,tuman,2017,195.9,4591.0,791.0,2.0,13.0,1897.0,200.0,3800.0,-11.0,23435.426237876465,4037.7743746809597,-56.151097498723836
1714212,Namangan tumani,tuman,2017,167.3,4047.0,742.0,0.0,0.0,1651.0,166.0,3305.0,0.0,24190.077704722054,4435.1464435146445,0.0
1714216,Norin tumani,tuman,2017,154.9,3591.0,848.0,0.0,0.0,1539.0,166.0,2743.0,0.0,23182.698515171076,5474.4996772111035,0.0
1714237,Chust tumani,tuman,2017,251.0,5370.0,1178.0,0.0,5.0,2511.0,244.0,4192.0,-5.0,21394.422310756974,4693.227091633466,-19.9203187250996
1714219,Pop tumani,tuman,2016,204.2,4642.0,893.0,0.0,20.0,1835.0,208.0,3749.0,-20.0,22732.615083251716,4373.163565132224,-97.94319294809011
1714224,To'raqo'rg'on tumani,tuman,2016,207.6,5290.0,943.0,0.0,4.0,1940.0,160.0,4347.0,-4.0,25481.69556840077,4542.389210019268,-19.26782273603083
1714229,Uychi tumani,tuman,2016,216.3,5228.0,1088.0,0.0,9.0,1877.0,160.0,4140.0,-9.0,24170.134073046695,5030.0508552935735,-41.60887656033287
1714234,Uchqo'rg'on tumani,tuman,2016,159.5,3604.0,788.0,1.0,8.0,1375.0,134.0,2816.0,-7.0,22595.61128526646,4940.438871473354,-43.8871473354232
1714,Namangan viloyati,viloyat,2015,2554.2,61980.0,12236.0,7.0,172.0,24695.0,2113.0,49744.0,-165.0,24265.914963589385,4790.541069610837,-64.59948320413437
1714207,Kosonsoy tumani,tuman,2015,188.4,4594.0,773.0,0.0,14.0,1875.0,158.0,3821.0,-14.0,24384.288747346072,4102.972399150743,-74.3099787685775
1714212,Namangan tumani,tuman,2015,216.7,5289.0,1040.0,0.0,0.0,2217.0,168.0,4249.0,0.0,24407.014305491466,4799.26165205353,0.0
1714216,Norin tumani,tuman,2015,149.9,3433.0,791.0,0.0,0.0,1370.0,145.0,2642.0,0.0,22901.934623082052,5276.851234156104,0.0
1714237,Chust tumani,tuman,2015,242.0,5639.0,1065.0,0.0,9.0,2424.0,188.0,4574.0,-9.0,23301.652892561982,4400.826446280992,-37.1900826446281
1714,Namangan viloyati,viloyat,2014,2504.1,62285.0,11848.0,4.0,225.0,25298.0,2179.0,50437.0,-221.0,24873.207938980075,4731.440437682201,-88.255261371351
1714207,Kosonsoy tumani,tuman,2014,184.7,4543.0,812.0,0.0,10.0,1841.0,145.0,3731.0,-10.0,24596.64320519762,4396.31835408771,-54.141851651326476
1714212,Namangan tumani,tuman,2014,212.0,5370.0,945.0,1.0,2.0,2063.0,148.0,4425.0,-1.0,25330.188679245282,4457.547169811321,-4.716981132075471
1714216,Norin tumani,tuman,2014,147.2,3545.0,746.0,0.0,0.0,1500.0,154.0,2799.0,0.0,24082.880434782608,5067.934782608696,0.0
1714237,Chust tumani,tuman,2014,237.7,5285.0,1048.0,0.0,6.0,2533.0,214.0,4237.0,-6.0,22233.90828775768,4408.918805216659,-25.24190155658393
1714,Namangan viloyati,viloyat,2013,2458.7,56859.0,11407.0,14.0,303.0,25110.0,1788.0,45452.0,-289.0,23125.63549843413,4639.443608410949,-117.54179037702853
1714207,Kosonsoy tumani,tuman,2013,180.9,4453.0,731.0,1.0,29.0,1829.0,124.0,3722.0,-28.0,24615.809839690435,4040.906578220011,-154.78164731896075
1714212,Namangan tumani,tuman,2013,207.8,4814.0,920.0,1.0,2.0,2168.0,168.0,3894.0,-1.0,23166.5062560154,4427.333974975938,-4.8123195380173245
1714216,Norin tumani,tuman,2013,144.6,3331.0,700.0,0.0,0.0,1470.0,98.0,2631.0,0.0,23035.961272475794,4840.940525587829,0.0
1714237,Chust tumani,tuman,2013,233.5,4943.0,1056.0,1.0,10.0,2352.0,201.0,3887.0,-9.0,21169.164882226978,4522.483940042827,-38.54389721627409
1714219,Pop tumani,tuman,2012,190.1,3810.0,919.0,1.0,0.0,1768.0,121.0,2891.0,1.0,20042.083114150446,4834.297738032615,5.260389268805891
1714224,To'raqo'rg'on tumani,tuman,2012,191.3,4122.0,866.0,0.0,0.0,1937.0,107.0,3256.0,0.0,21547.307893361212,4526.921066387872,0.0
1714229,Uychi tumani,tuman,2012,199.6,4180.0,999.0,1.0,0.0,2098.0,117.0,3181.0,1.0,20941.88376753507,5005.01002004008,5.01002004008016
1714234,Uchqo'rg'on tumani,tuman,2012,149.4,2877.0,745.0,3.0,0.0,1576.0,106.0,2132.0,3.0,19257.0281124498,4986.61311914324,20.080321285140563
1714219,Pop tumani,tuman,2011,186.8,4028.0,890.0,2.0,0.0,1855.0,88.0,3138.0,2.0,21563.169164882227,4764.453961456103,10.70663811563169
1714224,To'raqo'rg'on tumani,tuman,2011,187.8,4252.0,936.0,1.0,0.0,1906.0,131.0,3316.0,1.0,22641.107561235356,4984.025559105431,5.324813631522897
1714229,Uychi tumani,tuman,2011,196.0,4454.0,1052.0,4.0,0.0,1919.0,154.0,3402.0,4.0,22724.489795918365,5367.34693877551,20.408163265306122
1714234,Uchqo'rg'on tumani,tuman,2011,147.2,3116.0,749.0,4.0,0.0,1512.0,131.0,2367.0,4.0,21168.478260869568,5088.315217391305,27.173913043478265
1714,Namangan viloyati,viloyat,2010,2258.5,50799.0,10553.0,36.0,317.0,23674.0,1675.0,40246.0,-281.0,22492.36218729245,4672.570290015497,-124.41886207659951
1714207,Kosonsoy tumani,tuman,2010,160.9,4211.0,670.0,2.0,0.0,1831.0,122.0,3541.0,2.0,26171.535114978247,4164.077066500931,12.43008079552517
1714212,Namangan tumani,tuman,2010,183.9,4475.0,849.0,1.0,0.0,2152.0,173.0,3626.0,1.0,24333.877107123433,4616.639477977161,5.43773790103317
1714216,Norin tumani,tuman,2010,131.1,2915.0,688.0,0.0,0.0,1361.0,102.0,2227.0,0.0,22234.93516399695,5247.90236460717,0.0
1714237,Chust tumani,tuman,2010,218.0,4449.0,922.0,3.0,0.0,2285.0,128.0,3527.0,3.0,20408.256880733945,4229.357798165138,13.761467889908257
1714204,Mingbuloq tumani,tuman,2024,136.9,3427.0,552.0,0.0,0.0,1005.0,170.0,2875.0,0.0,25032.870708546383,4032.1402483564643,0.0
1714236,Chortoq tumani,tuman,2024,214.9,5577.0,957.0,3.0,4.0,1562.0,261.0,4620.0,-1.0,25951.605397859472,4453.234062354583,-4.653327128897161
